Time;ACE;ACE;ACE;ACE;ACE;ACE;ACE;ACE;ACE;ACE;ACE;ACE;ACE;ACE;ACE;ACE;ACE
Time;hm0;hm0a;hm0b;hmax;mdir;mdira;mdirb;sprtp;thhf;thmax;thtp;tm01;tm02;tm02a;tm02b;tp;uptime
27.07.2020 00:00:00;0.62988;0.51758;0.35645;1.01807;253.82813;254.5313;84.02344;73.8281;124.10156;24.1211;257.34375;7.7148;5.2734;17.7930;3.0859;23.8281;3426662.00000000
27.07.2020 01:00:00;0.69824;0.54199;0.43457;1.00342;130.78125;147.6563;99.84375;79.8047;134.64844;19.5313;119.53125;6.9336;4.8828;18.1445;3.1250;22.2656;3430262.00000000
27.07.2020 02:00:00;0.64941;0.53711;0.36133;1.29639;357.18750;340.3125;77.34375;67.8516;131.83594;19.2383;9.14063;7.7148;5.1758;18.7305;2.9297;24.4141;3433862.00000000
27.07.2020 03:00:00;0.37598;0.26367;0.27344;0.00000;244.33594;208.1250;270.70313;72.0703;201.09375;0.0000;252.42188;6.1523;4.5898;15.5078;3.3594;20.1172;3437462.00000000
27.07.2020 04:00:00;0.27832;0.14648;0.23438;0.00000;262.26563;67.5000;254.53125;74.8828;215.50781;0.0000;98.78906;4.1992;3.5156;15.5664;3.0078;24.9023;3441062.00000000
27.07.2020 05:00:00;0.28809;0.18555;0.21973;0.00000;302.69531;340.3125;255.93750;59.7656;206.71875;0.0000;316.75781;5.9570;4.6875;15.8594;3.6328;18.6523;3444662.00000000
27.07.2020 06:00:00;0.28320;0.19043;0.20508;0.00000;359.64844;53.4375;259.80469;70.3125;210.58594;0.0000;94.57031;5.8594;4.4922;16.5039;3.3203;24.4141;3448262.00000000
27.07.2020 07:00:00;0.25879;0.15625;0.20996;0.00000;237.30469;229.2188;241.87500;56.9531;213.04688;0.0000;266.13281;5.0781;4.0039;16.4453;3.2813;22.2656;3451862.00000000
27.07.2020 08:00:00;0.17578;0.11719;0.13184;0.00000;260.15625;239.0625;301.28906;65.0391;219.37500;0.0000;255.93750;6.7383;5.3711;16.7969;4.1406;21.2891;3455462.00000000
27.07.2020 09:00:00;0.20508;0.15137;0.14160;0.00000;189.14063;177.1875;272.81250;73.8281;214.80469;0.0000;161.71875;8.1055;6.2500;15.2734;4.4141;18.6523;3459062.00000000
27.07.2020 10:00:00;0.19043;0.15137;0.12207;0.00000;219.37500;208.1250;299.88281;73.4766;205.66406;0.0000;240.11719;8.7891;6.5430;16.0352;4.3359;24.4141;3462662.00000000
27.07.2020 11:00:00;0.16602;0.13184;0.10254;0.00000;258.39844;243.2813;294.96094;72.7734;216.21094;0.0000;285.82031;8.9844;6.6406;16.3867;4.3359;22.2656;3466262.00000000
27.07.2020 12:00:00;0.15625;0.06348;0.14160;0.00000;64.33594;194.0625;52.38281;23.5547;167.69531;0.0000;8.78906;4.6875;4.1016;15.8594;3.7500;6.9336;3469862.00000000
27.07.2020 13:00:00;0.11719;0.06348;0.10254;0.00000;17.57813;29.5313;13.71094;40.0781;172.96875;0.0000;9.49219;7.0313;6.0547;16.5039;5.2344;6.9336;3473462.00000000
27.07.2020 14:00:00;0.11719;0.02930;0.11230;0.00000;19.68750;53.4375;20.03906;18.6328;103.71094;0.0000;1.40625;5.4688;4.7852;16.1523;4.6875;6.8359;3477062.00000000
27.07.2020 15:00:00;0.11719;0.04395;0.10742;0.00000;2.10938;63.2813;356.48438;24.2578;242.92969;0.0000;358.24219;6.7383;6.2500;15.8594;5.8203;7.1289;3480662.00000000
27.07.2020 16:00:00;0.10742;0.04883;0.09766;0.00000;13.35938;50.6250;10.54688;30.2344;153.28125;0.0000;19.33594;6.6406;6.0547;16.1523;5.5078;6.7383;3484262.00000000
27.07.2020 17:00:00;0.19043;0.15625;0.11230;0.00000;106.17188;125.1563;49.57031;77.3438;50.97656;0.0000;145.19531;11.0352;9.2773;17.0313;6.0547;24.9023;3487862.00000000
27.07.2020 18:00:00;0.31738;0.29297;0.11719;0.00000;48.16406;49.2188;48.51563;63.9844;102.30469;0.0000;52.73438;13.7695;12.1094;16.1523;6.3281;16.7969;3491462.00000000
27.07.2020 19:00:00;0.24902;0.21484;0.12695;0.00000;69.25781;75.9375;40.07813;65.0391;8.78906;0.0000;92.46094;11.3281;8.1055;17.8516;4.4531;23.8281;3495062.00000000
27.07.2020 20:00:00;0.22461;0.18555;0.13184;0.00000;174.72656;182.8125;20.74219;78.3984;15.46875;0.0000;171.21094;8.9844;6.4453;16.2109;3.9063;24.9023;3498662.00000000
27.07.2020 21:00:00;0.15625;0.12207;0.10254;0.00000;53.08594;92.8125;33.39844;62.2266;10.89844;0.0000;51.32813;8.3984;6.4453;15.2148;4.3750;24.9023;3502262.00000000
27.07.2020 22:00:00;0.43945;0.38574;0.20508;0.00000;267.53906;268.5938;76.64063;63.6328;50.97656;0.0000;282.30469;10.3516;6.8359;17.9102;3.3984;20.8984;3505862.00000000
27.07.2020 23:00:00;0.34668;0.30273;0.17090;0.00000;82.26563;82.9688;64.68750;70.3125;23.55469;0.0000;79.10156;11.4258;8.3008;16.9727;4.4922;17.3828;3509462.00000000
28.07.2020 00:00:00;0.24902;0.19531;0.15625;0.00000;262.96875;241.8750;44.64844;76.6406;32.34375;0.0000;213.39844;7.8125;5.5664;15.5664;3.7109;24.9023;3513062.00000000
28.07.2020 01:00:00;0.22461;0.17090;0.14160;0.00000;82.26563;120.9375;39.37500;72.4219;17.57813;0.0000;222.18750;7.3242;5.5664;15.6250;3.7109;18.9453;3516662.00000000
28.07.2020 02:00:00;0.34668;0.25879;0.22949;0.00000;86.83594;98.4375;64.33594;68.9063;54.14063;0.0000;134.64844;6.7383;4.8828;15.6836;3.3594;20.8984;3520262.00000000
28.07.2020 03:00:00;0.60059;0.52246;0.29785;0.88623;73.82813;77.3438;62.92969;79.8047;95.62500;18.4570;92.10938;8.2031;5.4688;18.1445;2.8125;20.1172;3523862.00000000
28.07.2020 04:00:00;0.59570;0.47852;0.35645;0.91553;8.08594;347.3438;52.73438;76.2891;89.29688;22.8516;10.89844;6.7383;4.6875;19.1406;2.8516;23.8281;3527462.00000000
28.07.2020 05:00:00;0.46875;0.35156;0.31250;0.84229;175.07813;189.8438;54.14063;76.2891;81.21094;17.4805;210.58594;5.7617;4.1016;17.9102;2.8125;22.2656;3531062.00000000
28.07.2020 06:00:00;0.55176;0.43945;0.33203;0.84229;193.00781;201.0938;48.86719;76.9922;79.10156;16.7969;155.39063;6.4453;4.5898;16.0352;2.8125;18.2617;3534662.00000000
28.07.2020 07:00:00;0.61035;0.49316;0.36133;0.86426;190.54688;201.0938;103.35938;79.8047;116.01563;13.9648;190.89844;6.5430;4.5898;18.2617;2.7344;22.7539;3538262.00000000
28.07.2020 08:00:00;0.60547;0.40527;0.44922;0.77637;18.28125;330.4688;102.65625;71.0156;113.90625;17.2852;334.33594;4.6875;3.6133;17.7344;2.6953;22.7539;3541862.00000000
28.07.2020 09:00:00;0.47363;0.27832;0.38574;0.64453;326.25000;296.7188;98.78906;79.1016;105.11719;17.5781;292.85156;4.0039;3.2227;14.8047;2.6563;22.7539;3545462.00000000
28.07.2020 10:00:00;1.05469;0.97168;0.41504;1.42090;242.92969;246.0938;114.96094;59.7656;115.31250;23.5352;211.28906;10.6445;6.6406;19.8438;2.7344;22.7539;3549062.00000000
28.07.2020 11:00:00;0.62500;0.49805;0.38086;0.95947;89.64844;88.5938;103.00781;68.9063;116.01563;17.4805;100.89844;6.2500;4.3945;18.4375;2.6953;24.9023;3552662.00000000
28.07.2020 12:00:00;0.58594;0.46875;0.35156;0.79102;343.12500;338.9063;123.39844;72.0703;135.35156;21.3867;338.55469;6.7383;4.4922;20.3125;2.7344;24.9023;3556262.00000000
28.07.2020 13:00:00;0.51270;0.41992;0.29785;0.70313;240.11719;239.0625;17.22656;57.6563;125.50781;13.3789;233.08594;7.2266;4.9805;16.5625;2.9688;24.9023;3559862.00000000
28.07.2020 14:00:00;0.54199;0.43457;0.33203;0.81299;194.41406;205.3125;112.50000;69.9609;109.68750;18.8477;187.03125;6.2500;4.2969;17.7930;2.6953;21.2891;3563462.00000000
28.07.2020 15:00:00;0.48828;0.40039;0.28320;0.71777;73.82813;71.7188;83.67188;69.6094;111.44531;19.9219;79.10156;6.8359;4.5898;20.3711;2.6953;24.4141;3567062.00000000
28.07.2020 16:00:00;0.35156;0.24902;0.24414;0.00000;39.37500;15.4688;71.36719;77.6953;85.78125;0.0000;263.32031;5.3711;4.0039;16.0352;2.8125;24.9023;3570662.00000000
28.07.2020 17:00:00;0.34180;0.24902;0.22949;0.00000;35.85938;11.2500;75.93750;68.9063;73.82813;0.0000;27.42188;5.6641;4.1992;14.7461;2.8906;24.9023;3574262.00000000
28.07.2020 18:00:00;0.42969;0.33691;0.26855;0.57861;114.96094;139.2188;31.28906;67.1484;66.09375;17.7734;182.10938;6.7383;4.6875;15.8008;3.0078;17.3828;3577862.00000000
28.07.2020 19:00:00;0.68359;0.60547;0.31738;0.98145;222.89063;223.5938;51.67969;68.5547;92.10938;18.9453;190.54688;8.5938;5.6641;16.7969;2.7734;18.6523;3581462.00000000
28.07.2020 20:00:00;0.35156;0.24414;0.25391;0.00000;61.17188;98.4375;54.49219;76.2891;69.96094;0.0000;66.09375;4.9805;3.8086;15.3906;2.7734;14.4531;3585062.00000000
28.07.2020 21:00:00;0.44922;0.38574;0.22949;0.00000;245.39063;210.9375;356.48438;74.5313;59.41406;0.0000;300.23438;9.0820;5.9570;18.6719;3.1641;21.7773;3588662.00000000
28.07.2020 22:00:00;0.32715;0.24902;0.20508;0.00000;133.94531;149.0625;41.48438;72.7734;63.63281;0.0000;201.79688;7.1289;5.0781;15.0391;3.3594;24.9023;3592262.00000000
28.07.2020 23:00:00;0.52246;0.35156;0.38574;0.72510;317.46094;312.1875;100.89844;78.7500;109.68750;10.1563;317.46094;4.4922;3.5156;17.8516;2.5781;24.9023;3595862.00000000
29.07.2020 00:00:00;0.32227;0.24902;0.20020;0.00000;83.32031;101.2500;28.12500;66.4453;46.40625;0.0000;61.52344;6.9336;5.0781;15.0391;3.2813;13.6719;3599462.00000000
29.07.2020 01:00:00;0.22461;0.16602;0.14648;0.00000;57.30469;70.3125;46.40625;57.6563;32.69531;0.0000;62.22656;8.1055;6.4453;14.9219;4.4531;24.9023;3603062.00000000
29.07.2020 02:00:00;0.26855;0.20020;0.18066;0.00000;45.35156;49.2188;47.10938;58.7109;13.71094;0.0000;86.13281;7.5195;5.6641;16.5625;3.9063;20.8984;3606662.00000000
29.07.2020 03:00:00;0.24414;0.18066;0.17090;0.00000;67.50000;91.4063;23.55469;69.9609;17.92969;0.0000;79.10156;5.6641;4.1992;15.9180;2.9297;24.9023;3610262.00000000
29.07.2020 04:00:00;0.19043;0.11719;0.15137;0.00000;34.10156;106.8750;16.52344;71.7188;10.54688;0.0000;63.28125;4.7852;3.8086;16.3867;3.0469;24.4141;3613862.00000000
29.07.2020 05:00:00;0.42480;0.34180;0.25391;0.00000;2.10938;344.5313;44.29688;72.4219;49.21875;0.0000;319.92188;6.4453;4.4922;17.6758;2.7344;20.1172;3617462.00000000
29.07.2020 06:00:00;0.39063;0.24414;0.30273;0.48340;348.04688;317.8125;46.75781;77.3438;50.97656;11.2305;294.60938;4.2969;3.4180;16.7383;2.6563;23.8281;3621062.00000000
29.07.2020 07:00:00;0.32715;0.25391;0.20508;0.00000;132.53906;163.1250;29.17969;73.1250;49.92188;0.0000;131.13281;7.4219;5.2734;17.0898;3.4375;24.9023;3624662.00000000
29.07.2020 08:00:00;0.34668;0.27344;0.21973;0.00000;189.14063;209.5313;41.83594;74.5313;60.46875;0.0000;162.77344;6.3477;4.4922;17.0313;2.8906;23.8281;3628262.00000000
29.07.2020 09:00:00;0.31250;0.23438;0.20508;0.00000;80.15625;102.6563;40.07813;76.9922;66.79688;0.0000;119.53125;6.7383;4.8828;16.8555;3.3203;24.4141;3631862.00000000
