O2 Optode #578																					
Record Time	Record Number	Sensor Status	O2Concentration [uM]	Status	AirSaturation [%]	Status	Temperature [Deg.C]	Status	CalPhase [Deg]	Status	TCPhase [Deg]	Status	C1RPh [Deg]	Status	C2RPh [Deg]	Status	C1Amp [mV]	Status	C2Amp [mV]	Status	RawTemp [mV]	Status	
2020-08-12 08.21.19	2	(0) OK	2.490039E+02		7.844926E+01		1.464006E+01		3.365621E+01		3.365621E+01		4.080542E+01		7.149208E+00		7.785655E+02		7.585151E+02		3.018734E+02		
2020-08-12 08.22.19	3	(0) OK	2.484678E+02		7.828389E+01		1.464216E+01		3.368058E+01		3.368058E+01		4.082486E+01		7.144279E+00		7.787216E+02		7.554560E+02		3.018041E+02		
2020-08-12 08.23.19	4	(0) OK	2.481935E+02		7.821083E+01		1.465000E+01		3.369006E+01		3.369006E+01		4.083185E+01		7.141792E+00		7.796886E+02		7.552725E+02		3.015450E+02		
2020-08-12 08.24.19	5	(0) OK	2.478842E+02		7.809973E+01		1.464197E+01		3.370827E+01		3.370827E+01		4.086325E+01		7.154976E+00		7.805944E+02		7.550015E+02		3.018102E+02		
2020-08-12 08.25.19	6	(0) OK	2.481547E+02		7.817995E+01		1.463903E+01		3.369678E+01		3.369678E+01		4.083798E+01		7.141205E+00		7.799127E+02		7.547017E+02		3.019074E+02		
2020-08-12 08.26.19	7	(0) OK	2.487516E+02		7.836646E+01		1.463812E+01		3.366898E+01		3.366898E+01		4.081235E+01		7.143372E+00		7.788091E+02		7.545818E+02		3.019377E+02		
2020-08-12 08.27.19	8	(0) OK	2.495201E+02		7.859743E+01		1.463161E+01		3.363567E+01		3.363567E+01		4.077858E+01		7.142906E+00		7.777219E+02		7.543493E+02		3.021528E+02		
2020-08-12 08.28.19	9	(0) OK	2.501941E+02		7.880876E+01		1.463105E+01		3.360428E+01		3.360428E+01		4.074773E+01		7.143448E+00		7.767825E+02		7.543201E+02		3.021713E+02		
2020-08-12 08.29.19	10	(0) OK	2.495947E+02		7.863353E+01		1.463898E+01		3.362888E+01		3.362888E+01		4.076857E+01		7.139687E+00		7.774282E+02		7.541559E+02		3.019093E+02		
2020-08-12 08.30.19	11	(0) OK	2.490957E+02		7.847369E+01		1.463745E+01		3.365305E+01		3.365305E+01		4.080190E+01		7.148842E+00		7.785652E+02		7.542198E+02		3.019599E+02		
2020-08-12 08.31.19	12	(0) OK	2.487946E+02		7.837701E+01		1.463639E+01		3.366772E+01		3.366772E+01		4.080534E+01		7.137627E+00		7.789297E+02		7.540973E+02		3.019948E+02		
2020-08-12 08.32.19	13	(0) OK	2.484650E+02		7.827960E+01		1.464014E+01		3.368161E+01		3.368161E+01		4.082507E+01		7.143463E+00		7.792372E+02		7.539886E+02		3.018709E+02		
2020-08-12 08.33.19	14	(0) OK	2.476250E+02		7.802156E+01		1.464406E+01		3.371964E+01		3.371964E+01		4.085939E+01		7.139748E+00		7.804464E+02		7.540720E+02		3.017413E+02		
2020-08-12 08.34.19	15	(0) OK	2.470724E+02		7.785591E+01		1.464903E+01		3.374367E+01		3.374367E+01		4.088914E+01		7.145477E+00		7.814307E+02		7.540862E+02		3.015769E+02		
2020-08-12 08.35.19	16	(0) OK	2.467100E+02		7.774049E+01		1.464832E+01		3.376124E+01		3.376124E+01		4.090250E+01		7.141258E+00		7.817575E+02		7.541211E+02		3.016003E+02		
2020-08-12 08.36.19	17	(0) OK	2.462197E+02		7.759168E+01		1.465168E+01		3.378313E+01		3.378313E+01		4.092828E+01		7.145157E+00		7.822586E+02		7.539359E+02		3.014893E+02		
2020-08-12 08.37.19	18	(0) OK	2.458367E+02		7.748250E+01		1.465850E+01		3.379839E+01		3.379839E+01		4.093965E+01		7.141258E+00		7.828112E+02		7.539856E+02		3.012639E+02		
2020-08-12 08.38.19	19	(0) OK	2.454635E+02		7.736272E+01		1.465724E+01		3.381683E+01		3.381683E+01		4.095949E+01		7.142662E+00		7.833435E+02		7.539376E+02		3.013056E+02		
2020-08-12 08.39.19	20	(0) OK	2.453411E+02		7.731984E+01		1.465465E+01		3.382384E+01		3.382384E+01		4.096855E+01		7.144707E+00		7.839656E+02		7.539884E+02		3.013910E+02		
2020-08-12 08.40.19	21	(0) OK	2.452130E+02		7.729572E+01		1.466434E+01		3.382567E+01		3.382567E+01		4.096797E+01		7.142303E+00		7.839349E+02		7.538721E+02		3.010708E+02		
2020-08-12 08.41.19	22	(0) OK	2.447833E+02		7.716135E+01		1.466499E+01		3.384602E+01		3.384602E+01		4.098859E+01		7.142570E+00		7.848525E+02		7.539384E+02		3.010493E+02		
2020-08-12 08.42.19	23	(0) OK	2.445519E+02		7.708611E+01		1.466362E+01		3.385776E+01		3.385776E+01		4.099629E+01		7.138535E+00		7.850670E+02		7.538578E+02		3.010947E+02		
2020-08-12 08.43.19	24	(0) OK	2.449117E+02		7.720407E+01		1.466633E+01		3.383925E+01		3.383925E+01		4.098175E+01		7.142502E+00		7.844802E+02		7.538398E+02		3.010051E+02		
2020-08-12 08.44.19	25	(0) OK	2.452886E+02		7.730847E+01		1.465773E+01		3.382499E+01		3.382499E+01		4.096390E+01		7.138908E+00		7.838599E+02		7.537908E+02		3.012892E+02		
2020-08-12 08.45.19	26	(0) OK	2.457417E+02		7.744160E+01		1.465201E+01		3.380584E+01		3.380584E+01		4.095120E+01		7.145363E+00		7.831661E+02		7.537849E+02		3.014785E+02		
2020-08-12 08.46.19	27	(0) OK	2.456513E+02		7.741590E+01		1.465366E+01		3.380943E+01		3.380943E+01		4.094615E+01		7.136726E+00		7.829967E+02		7.538264E+02		3.014239E+02		
2020-08-12 08.47.19	28	(0) OK	2.467318E+02		7.772765E+01		1.463665E+01		3.376540E+01		3.376540E+01		4.090627E+01		7.140862E+00		7.823450E+02		7.537286E+02		3.019860E+02		
2020-08-12 08.48.19	29	(0) OK	2.473384E+02		7.793226E+01		1.464462E+01		3.373299E+01		3.373299E+01		4.087520E+01		7.142204E+00		7.811808E+02		7.537429E+02		3.017229E+02		
2020-08-12 08.49.19	30	(0) OK	2.471734E+02		7.789864E+01		1.465546E+01		3.373600E+01		3.373600E+01		4.088518E+01		7.149178E+00		7.816605E+02		7.537267E+02		3.013645E+02		
2020-08-12 08.50.19	31	(0) OK	2.468506E+02		7.779765E+01		1.465591E+01		3.375116E+01		3.375116E+01		4.089581E+01		7.144653E+00		7.815823E+02		7.537531E+02		3.013494E+02		
2020-08-12 08.51.19	32	(0) OK	2.468871E+02		7.780524E+01		1.465360E+01		3.375045E+01		3.375045E+01		4.089142E+01		7.140968E+00		7.817211E+02		7.537699E+02		3.014258E+02		
2020-08-12 08.52.19	33	(0) OK	2.466910E+02		7.775566E+01		1.466083E+01		3.375657E+01		3.375657E+01		4.089618E+01		7.139610E+00		7.816203E+02		7.537449E+02		3.011868E+02		
2020-08-12 08.53.19	34	(0) OK	2.466158E+02		7.772398E+01		1.465609E+01		3.376226E+01		3.376226E+01		4.090524E+01		7.142982E+00		7.816279E+02		7.537571E+02		3.013435E+02		
2020-08-12 08.54.19	35	(0) OK	2.472664E+02		7.792974E+01		1.465652E+01		3.373111E+01		3.373111E+01		4.087271E+01		7.141602E+00		7.809189E+02		7.536039E+02		3.013293E+02		
2020-08-12 08.55.19	36	(0) OK	2.477590E+02		7.807258E+01		1.464921E+01		3.371098E+01		3.371098E+01		4.085347E+01		7.142487E+00		7.798948E+02		7.537471E+02		3.015710E+02		
2020-08-12 08.56.19	37	(0) OK	2.485169E+02		7.832220E+01		1.465553E+01		3.367230E+01		3.367230E+01		4.081612E+01		7.143814E+00		7.793693E+02		7.536575E+02		3.013619E+02		
